,geometry,FID,Activity,ActivityDa,ComName,MonYr,FinYr,Detection1,Date_S
0,POINT Z (153.134807 -26.71795499924155 0),0,Infestation,1/03/2015,Bitou bush,2015-03,2014 - 2015,<Null>,Jan15_Jun15
1,POINT Z (153.4306680000001 -27.31562999923004 0),1,Infestation,25/03/2015,Bitou bush,2015-03,2014 - 2015,<Null>,Jan15_Jun15
2,POINT Z (153.4250800000001 -27.30357699923024 0),2,Infestation,25/03/2015,Bitou bush,2015-03,2014 - 2015,<Null>,Jan15_Jun15
3,POINT Z (153.1105680000001 -25.56516199926478 0),3,Infestation,1/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
4,POINT Z (153.0855340000001 -25.7630009992607 0),4,Infestation,29/04/2015,Bitou bush,2015-04,2014 - 2015,<Null>,Jan15_Jun15
5,POINT Z (153.056466 -25.79696699926003 0),5,Infestation,29/04/2015,Bitou bush,2015-04,2014 - 2015,<Null>,Jan15_Jun15
6,POINT Z (153.088074 -25.894715999258 0),6,Infestation,29/04/2015,Bitou bush,2015-04,2014 - 2015,<Null>,Jan15_Jun15
7,POINT Z (153.0982240000001 -25.91156599925768 0),7,Infestation,29/04/2015,Bitou bush,2015-04,2014 - 2015,<Null>,Jan15_Jun15
8,POINT Z (153.10315 -25.91722999925753 0),8,Infestation,29/04/2015,Bitou bush,2015-04,2014 - 2015,<Null>,Jan15_Jun15
9,POINT Z (153.104109 -25.91844199925754 0),9,Infestation,29/04/2015,Bitou bush,2015-04,2014 - 2015,<Null>,Jan15_Jun15
10,POINT Z (153.104915 -25.9195659992575 0),10,Infestation,29/04/2015,Bitou bush,2015-04,2014 - 2015,<Null>,Jan15_Jun15
11,POINT Z (153.1676640000001 -25.97218899925648 0),11,Infestation,29/04/2015,Bitou bush,2015-04,2014 - 2015,<Null>,Jan15_Jun15
12,POINT Z (153.5363990000001 -27.43979399922769 0),12,Infestation,5/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
13,POINT Z (153.5219980000001 -27.46770699922713 0),13,Infestation,5/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
14,POINT Z (153.5139270000001 -27.48718699922679 0),14,Infestation,5/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
15,POINT Z (153.4902040000001 -27.54757899922564 0),15,Infestation,6/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
16,POINT Z (153.483684 -27.55320099922555 0),16,Infestation,6/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
17,POINT Z (153.475267 -27.59436199922477 0),17,Infestation,6/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
18,POINT Z (153.402634 -27.71894899922245 0),18,Infestation,6/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
19,POINT Z (153.41192 -27.8374169992202 0),19,Infestation,9/06/2015,Bitou bush,2015-06,2014 - 2015,<Null>,Jan15_Jun15
20,POINT Z (153.452125 -27.71663999922248 0),20,Infestation,26/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
21,POINT Z (153.4874880000001 -27.5588879992254 0),21,Infestation,27/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
22,POINT Z (153.1146650000001 -25.54031399926527 0),22,Infestation,3/06/2015,Bitou bush,2015-06,2014 - 2015,<Null>,Jan15_Jun15
23,POINT Z (153.104904 -25.91964999925752 0),23,Infestation,15/07/2015,Bitou bush,2015-07,2015 - 2016,<Null>,July15_Dec15
24,POINT Z (153.1070850000001 -25.92156299925748 0),24,Infestation,15/07/2015,Bitou bush,2015-07,2015 - 2016,<Null>,July15_Dec15
25,POINT Z (153.421952 -27.1873849992325 0),25,Infestation,19/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
26,POINT Z (153.4188680000001 -27.20878499923206 0),26,Infestation,19/10/2015,Bitou bush,2015-10,2015 - 2016,<Null>,July15_Dec15
27,POINT Z (153.512607 -27.42346099922797 0),27,Infestation,5/11/2015,Bitou bush,2015-11,2015 - 2016,<Null>,July15_Dec15
28,POINT Z (153.170612 -25.9653529992566 0),28,Infestation,2/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
29,POINT Z (153.17057 -25.96538799925656 0),29,Infestation,2/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
30,POINT Z (153.1057020000001 -25.92019899925748 0),30,Infestation,3/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
31,POINT Z (153.107247 -25.92159299925747 0),31,Infestation,3/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
32,POINT Z (153.1072720000001 -25.92158799925748 0),32,Infestation,3/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
33,POINT Z (153.107157 -25.92152499925746 0),33,Infestation,3/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
34,POINT Z (153.1069130000001 -25.92178499925748 0),34,Infestation,3/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
35,POINT Z (153.1087100000001 -25.92307799925743 0),35,Infestation,3/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
36,POINT Z (153.1130770000001 -25.92880599925735 0),36,Infestation,3/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
37,POINT Z (153.116126 -25.93111499925727 0),37,Infestation,3/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
38,POINT Z (153.1165540000001 -25.93116299925727 0),38,Infestation,3/12/2015,Bitou bush,2015-12,2015 - 2016,<Null>,July15_Dec15
39,POINT Z (153.085582 -25.7630219992607 0),39,Treatment,2/06/2015,Bitou bush,2015-06,2014 - 2015,<Null>,Jan15_Jun15
40,POINT Z (153.056495 -25.79705799926002 0),40,Treatment,2/06/2015,Bitou bush,2015-06,2014 - 2015,<Null>,Jan15_Jun15
41,POINT Z (153.0559480000001 -25.79687799926003 0),41,Treatment,2/06/2015,Bitou bush,2015-06,2014 - 2015,<Null>,Jan15_Jun15
42,POINT Z (153.122388 -25.51987999926573 0),42,Treatment,3/06/2015,Bitou bush,2015-06,2014 - 2015,<Null>,Jan15_Jun15
43,POINT Z (153.0810230000001 -25.72704499926143 0),43,Treatment,3/06/2015,Bitou bush,2015-06,2014 - 2015,<Null>,Jan15_Jun15
44,POINT Z (153.4862770000001 -27.53759799922585 0),44,Treatment,12/05/2015,Bitou bush,2015-05,2014 - 2015,<Null>,Jan15_Jun15
